instance_id;figure_id;image_file;dynamic_prompt;answer_options;figure_type;qa_pair_type;caption;question;gold;prediction;rouge1_precision;rouge1_recall;rouge1_fmeasure;rougeL_precision;rougeL_recall;rougeL_fmeasure;bertscore_precision;bertscore_recall;bertscore_f1;gold_n;pred_n;exact_match;sim_high_r;sim_low_r;sim_high_b;sim_low_b
a4800048c52a9b9b6e40d0249bc59323;W12-4625.pdf-Figure10;W12-4625.pdf-Figure10.png;"You are looking at a tree.
The caption is: 'Figure 10: Disambiguated FRMG output, with depFRMG edges above and converted depFTB edges below'.
Question: What are the color(s) of arrows that point from right to left in the image?
[Visual cue] Pay attention to color, position, shape, size, height, or direction.
Use information from the caption when it directly supports your answer; otherwise, focus on data present in the visual itself.
Available options: {'A': 'Blue', 'B': 'Purple', 'C': 'Red', 'D': 'Green'}.
Respond only with the corresponding option keyword(s) (e.g., 'A' or 'A,B' if multiple apply, without space between).
Do not include explanations, full sentences, or option text.
If the answer cannot be inferred from the figure and caption, please reply with the sentence: 'It is not possible to answer this question based only on the provided data.'
<thinking> Reasoning (do NOT respond yet)
Step 1 Identify the figure type and its axes/legend.
Step 2 Locate the graphical elements relevant to the question.
Step 3 Extract the key-value information.
Step 4 Determine the required values or qualitative trends.
Step 5 Integrate insights from the caption when necessary.
Step 6 Evaluate the provided answer choices and select the best one
Step 7 Produce the concise answer following the formatting rules above.

Final respond:";"[{""A"": ""Blue"", ""B"": null, ""C"": null, ""D"": null}, {""A"": null, ""B"": ""Purple"", ""C"": null, ""D"": null}, {""A"": null, ""B"": null, ""C"": ""Red"", ""D"": null}, {""A"": null, ""B"": null, ""C"": null, ""D"": ""Green""}]";tree;closed-ended finite answer set non-binary visual;Figure 10: Disambiguated FRMG output, with depFRMG edges above and converted depFTB edges below;What are the color(s) of arrows that point from right to left in the image?;A,B,C;The answer is: A;0.25;0.3333333333333333;0.2857142857142857;0.25;0.3333333333333333;0.2857142857142857;0.8129702806472778;0.7965229749679565;0.8046625852584839;A,B,C;The answer is: A;False;False;True;True;False
7e045cc686098f3bf59ae4d1aefd1bf6;2002.10375v2-Figure2-1;2002.10375v2-Figure2-1.png;"You are looking at a line chart.
The caption is: 'Figure 2. Accuracy of two discriminators: one is given access to the source context x while the other is not. The x-axis corresponds to the length of the discriminated sub-sequences.'.
Question: What is the accuracy value of the blue line at t=120?
[Visual cue] Pay attention to color, position, shape, size, height, or direction.
Use information from the caption when it directly supports your answer; otherwise, focus on data present in the visual itself.
Available options: {'A': '0.95', 'B': '0.85', 'C': '0.75', 'D': 'between 0.95 and 100'}.
Respond only with the corresponding option keyword(s) (e.g., 'A' or 'A,B' if multiple apply, without space between).
Do not include explanations, full sentences, or option text.
If the answer cannot be inferred from the figure and caption, please reply with the sentence: 'It is not possible to answer this question based only on the provided data.'
<thinking> Reasoning (do NOT respond yet)
Step 1 Identify the figure type and its axes/legend.
Step 2 Locate the graphical elements relevant to the question.
Step 3 Extract the key-value information.
Step 4 Determine the required values or qualitative trends.
Step 5 Integrate insights from the caption when necessary.
Step 6 Evaluate the provided answer choices and select the best one
Step 7 Produce the concise answer following the formatting rules above.

Final respond:";"[{""A"": ""0.95"", ""B"": null, ""C"": null, ""D"": null}, {""A"": null, ""B"": ""0.85"", ""C"": null, ""D"": null}, {""A"": null, ""B"": null, ""C"": ""0.75"", ""D"": null}, {""A"": null, ""B"": null, ""C"": null, ""D"": ""between 0.95 and 100""}]";line chart;closed-ended finite answer set non-binary visual;Figure 2. Accuracy of two discriminators: one is given access to the source context x while the other is not. The x-axis corresponds to the length of the discriminated sub-sequences.;What is the accuracy value of the blue line at t=120?;D;The blue line represents the discriminator with context. At t=120, the accuracy value of the blue line is about 0.95.. So, the answer is A.;0.0;0.0;0.0;0.0;0.0;0.0;0.7989851236343384;0.81556236743927;0.8071886301040649;D;The blue line represents the discriminator with context. At t=120, the accuracy value of the blue line is about 0.95.. So, the answer is A;False;False;True;True;False
bd27b7aa0867bf59745a8230e4f9289f;1709.05227v1-Figure4-1;1709.05227v1-Figure4-1.png;"You are looking at a line chart.
The caption is: 'Figure 4: Errors corrected for dynamic-proposed and several other settings (see Table 7.2), plotted against update frequency (first 3 methods) or enrollment time (following 2 methods) as described in the text.'.
Question: What is the approximate value of corrected errors for the blue line at an update frequency of 100 minutes?
[Visual cue] Pay attention to color, position, shape, size, height, or direction.
Use information from the caption when it directly supports your answer; otherwise, focus on data present in the visual itself.
Respond with a concise, one-word or very short phrase. No full sentences, no explanations.
If the response is numeric, use digits only and include any units or suffixes (e.g., %, kg, $).
If the answer cannot be inferred from the figure and caption, please reply with the sentence: 'It is not possible to answer this question based only on the provided data.'
<thinking> Reasoning (do NOT respond yet)
Step 1 Identify the figure type and its axes/legend.
Step 2 Locate the graphical elements relevant to the question.
Step 3 Extract the key-value information.
Step 4 Determine the required values or qualitative trends.
Step 5 Integrate insights from the caption when necessary.
Step 6 Ensure the answer is either Yes or No as required
Step 7 Produce the concise answer following the formatting rules above.

Final respond:";[];line chart;closed-ended infinite answer set visual;Figure 4: Errors corrected for dynamic-proposed and several other settings (see Table 7.2), plotted against update frequency (first 3 methods) or enrollment time (following 2 methods) as described in the text.;What is the approximate value of corrected errors for the blue line at an update frequency of 100 minutes?;between 1600 and 1800;The blue line represents the dynamic-oracleCM method. At an update frequency of 100 minutes, the corrected errors for the blue line are about 200.;0.0;0.0;0.0;0.0;0.0;0.0;0.8033007979393005;0.8151112198829651;0.8091629147529602;between 1600 and 1800;The blue line represents the dynamic-oracleCM method. At an update frequency of 100 minutes, the corrected errors for the blue line are about 200;False;False;True;True;False
89f91c2ca70703dadee5b510a34ccfac;W12-0203.pdf-Figure4;W12-0203.pdf-Figure4.png;"You are looking at a scatter plot.
The caption is: 'Figure 4: Screencap of Motion Chart for COLLISION'.
Question: What is the range of the values presented in x-axis?
[Data-only cue] Focus your response more on numeric or textual values.
Use information from the caption when it directly supports your answer; otherwise, focus on data present in the visual itself.
Available options: {'A': '-0.4 to 1', 'B': '-0.2 to 1', 'C': '-0.4 to 2', 'D': 'None of the above'}.
Respond only with the corresponding option keyword(s) (e.g., 'A' or 'A,B' if multiple apply, without space between).
Do not include explanations, full sentences, or option text.
If the answer cannot be inferred from the figure and caption, please reply with the sentence: 'It is not possible to answer this question based only on the provided data.'
<thinking> Reasoning (do NOT respond yet)
Step 1 Identify the figure type and its axes/legend.
Step 2 Locate the graphical elements relevant to the question.
Step 3 Extract the key-value information.
Step 4 Determine the required values or qualitative trends.
Step 5 Integrate insights from the caption when necessary.
Step 6 Evaluate the provided answer choices and select the best one
Step 7 Produce the concise answer following the formatting rules above.

Final respond:";"[{""A"": ""-0.4 to 1"", ""B"": null, ""C"": null, ""D"": null}, {""A"": null, ""B"": ""-0.2 to 1"", ""C"": null, ""D"": null}, {""A"": null, ""B"": null, ""C"": ""-0.4 to 2"", ""D"": null}, {""A"": null, ""B"": null, ""C"": null, ""D"": ""None of the above""}]";scatter plot;closed-ended finite answer set non-binary non-visual;Figure 4: Screencap of Motion Chart for COLLISION;What is the range of the values presented in x-axis?;A;The scatter plot shows a range of values on the x-axis from -0.4 to 1.;0.0588235294117647;1.0;0.1111111111111111;0.0588235294117647;1.0;0.1111111111111111;0.7905886173248291;0.8294033408164978;0.8095309734344482;A;The scatter plot shows a range of values on the x-axis from -0.4 to 1;False;False;True;True;False
f864eff69d4d3ee270b91460c8dd0a94;2020.acl-main.170.pdf-Figure7;2020.acl-main.170.pdf-Figure7.png;"You are looking at a scatter plot with 2 subfigures.
The caption is: 'Figure 7: Visualization of source embeddings. Models trained on WMT14 En-Fr (4m).'.
Question: Which model is represented in the graph (a)?
[Data-only cue] Focus your response more on numeric or textual values.
Use information from the caption when it directly supports your answer; otherwise, focus on data present in the visual itself.
Respond with a concise, one-word or very short phrase. No full sentences, no explanations.
If the response is numeric, use digits only and include any units or suffixes (e.g., %, kg, $).
If the answer cannot be inferred from the figure and caption, please reply with the sentence: 'It is not possible to answer this question based only on the provided data.'
<thinking> Reasoning (do NOT respond yet)
Step 1 Identify the figure type and its axes/legend.
Step 2 Locate the graphical elements relevant to the question.
Step 3 Extract the key-value information.
Step 4 Determine the required values or qualitative trends.
Step 5 Integrate insights from the caption when necessary.
Step 6 Ensure the answer is either Yes or No as required
Step 7 Produce the concise answer following the formatting rules above.

Final respond:";[];scatter plot;closed-ended infinite answer set non-visual;Figure 7: Visualization of source embeddings. Models trained on WMT14 En-Fr (4m).;Which model is represented in the graph (a)?;BPE;It is not possible to answer this question based only on the provided data.;0.0;0.0;0.0;0.0;0.0;0.0;0.8173438310623169;0.8021013736724854;0.8096508979797363;BPE;It is not possible to answer this question based only on the provided data;False;False;True;True;False
b85df166bc20b89514ab24208a2fa0cc;1802.03116v1-Figure4-1;1802.03116v1-Figure4-1.png;"You are looking at a line chart with 2 subfigures.
The caption is: 'Figure 4: Comparison with ORACLE that uses direct source-target parallel or comparable corpora. The JOINT model corresponds to horizontal lines.'.
Question: Which of the following represents the trend of the JOINT model in the right graph (b)?
[Visual cue] Pay attention to color, position, shape, size, height, or direction.
Use information from the caption when it directly supports your answer; otherwise, focus on data present in the visual itself.
Available options: {'A': 'The red solid line', 'B': 'The blue dashed line', 'C': 'Both the red solid line and the blue dashed line', 'D': 'Neither the red solid line nor the blue dashed line'}.
Respond only with the corresponding option keyword(s) (e.g., 'A' or 'A,B' if multiple apply, without space between).
Do not include explanations, full sentences, or option text.
If the answer cannot be inferred from the figure and caption, please reply with the sentence: 'It is not possible to answer this question based only on the provided data.'
<thinking> Reasoning (do NOT respond yet)
Step 1 Identify the figure type and its axes/legend.
Step 2 Locate the graphical elements relevant to the question.
Step 3 Extract the key-value information.
Step 4 Determine the required values or qualitative trends.
Step 5 Integrate insights from the caption when necessary.
Step 6 Evaluate the provided answer choices and select the best one
Step 7 Produce the concise answer following the formatting rules above.

Final respond:";"[{""A"": ""The red solid line"", ""B"": null, ""C"": null, ""D"": null}, {""A"": null, ""B"": ""The blue dashed line"", ""C"": null, ""D"": null}, {""A"": null, ""B"": null, ""C"": ""Both the red solid line and the blue dashed line"", ""D"": null}, {""A"": null, ""B"": null, ""C"": null, ""D"": ""Neither the red solid line nor the blue dashed line""}]";line chart;closed-ended finite answer set non-binary visual;Figure 4: Comparison with ORACLE that uses direct source-target parallel or comparable corpora. The JOINT model corresponds to horizontal lines.;Which of the following represents the trend of the JOINT model in the right graph (b)?;C;The JOINT model corresponds to horizontal lines in the right graph (b).;0.0;0.0;0.0;0.0;0.0;0.0;0.7917883396148682;0.8292850852012634;0.8101029992103577;C;The JOINT model corresponds to horizontal lines in the right graph (b);False;False;True;True;False
d8788111194d7c489340e4e6f1acd4a2;2020.acl-main.67.pdf-Figure6;2020.acl-main.67.pdf-Figure6.png;"You are looking at a line chart with 2 subfigures.
The caption is: 'Figure 6: BLEU variation between models with different Ke with respect to size of AMR graph and (left) and reentrancy numbers (right).'.
Question: What value of Ke corresponds to the blue line?
[Data-only cue] Focus your response more on numeric or textual values.
Use information from the caption when it directly supports your answer; otherwise, focus on data present in the visual itself.
Available options: {'A': '0', 'B': '1', 'C': '4', 'D': '2'}.
Respond only with the corresponding option keyword(s) (e.g., 'A' or 'A,B' if multiple apply, without space between).
Do not include explanations, full sentences, or option text.
If the answer cannot be inferred from the figure and caption, please reply with the sentence: 'It is not possible to answer this question based only on the provided data.'
<thinking> Reasoning (do NOT respond yet)
Step 1 Identify the figure type and its axes/legend.
Step 2 Locate the graphical elements relevant to the question.
Step 3 Extract the key-value information.
Step 4 Determine the required values or qualitative trends.
Step 5 Integrate insights from the caption when necessary.
Step 6 Evaluate the provided answer choices and select the best one
Step 7 Produce the concise answer following the formatting rules above.

Final respond:";"[{""A"": ""0"", ""B"": null, ""C"": null, ""D"": null}, {""A"": null, ""B"": ""1"", ""C"": null, ""D"": null}, {""A"": null, ""B"": null, ""C"": ""4"", ""D"": null}, {""A"": null, ""B"": null, ""C"": null, ""D"": ""2""}]";line chart;closed-ended finite answer set non-binary non-visual;Figure 6: BLEU variation between models with different Ke with respect to size of AMR graph and (left) and reentrancy numbers (right).;What value of Ke corresponds to the blue line?;A;The blue line corresponds to Ke=0.;0.0;0.0;0.0;0.0;0.0;0.0;0.7970682382583618;0.8238263726234436;0.8102263808250427;A;The blue line corresponds to Ke=0;False;False;True;True;False
55215f3d30066961b1e92fc097bdc10e;2020.acl-main.39.pdf-Figure6;2020.acl-main.39.pdf-Figure6.png;"You are looking at a bar chart.
The caption is: 'Figure 6: SeqAcc for the Location Attender and best baseline on the Long Lookup Tables task (10 runs).'.
Question: Which dataset shows the lowest value for blue bar?
[Visual cue] Pay attention to color, position, shape, size, height, or direction.
Use information from the caption when it directly supports your answer; otherwise, focus on data present in the visual itself.
Available options: {'A': 'Long 1', 'B': 'Long 4', 'C': 'Long 5', 'D': 'Long 3'}.
Respond only with the corresponding option keyword(s) (e.g., 'A' or 'A,B' if multiple apply, without space between).
Do not include explanations, full sentences, or option text.
If the answer cannot be inferred from the figure and caption, please reply with the sentence: 'It is not possible to answer this question based only on the provided data.'
<thinking> Reasoning (do NOT respond yet)
Step 1 Identify the figure type and its axes/legend.
Step 2 Locate the graphical elements relevant to the question.
Step 3 Extract the key-value information.
Step 4 Determine the required values or qualitative trends.
Step 5 Integrate insights from the caption when necessary.
Step 6 Evaluate the provided answer choices and select the best one
Step 7 Produce the concise answer following the formatting rules above.

Final respond:";"[{""A"": ""Long 1"", ""B"": null, ""C"": null, ""D"": null}, {""A"": null, ""B"": ""Long 4"", ""C"": null, ""D"": null}, {""A"": null, ""B"": null, ""C"": ""Long 5"", ""D"": null}, {""A"": null, ""B"": null, ""C"": null, ""D"": ""Long 3""}]";bar chart;closed-ended finite answer set non-binary visual;Figure 6: SeqAcc for the Location Attender and best baseline on the Long Lookup Tables task (10 runs).;Which dataset shows the lowest value for blue bar?;C;The lowest value for the blue bar is shown in Long 5.;0.0;0.0;0.0;0.0;0.0;0.0;0.7943381071090698;0.8269839286804199;0.8103323578834534;C;The lowest value for the blue bar is shown in Long 5;False;False;True;True;False
0cba32b024551086faaedb3265b600b6;1106.4571v1-Figure16-1;1106.4571v1-Figure16-1.png;"You are looking at a line chart.
The caption is: 'Figure 16: Baseline Artificial Corpus'.
Question: How many dots are there before training example 200?
[Visual cue] Pay attention to color, position, shape, size, height, or direction.
Use information from the caption when it directly supports your answer; otherwise, focus on data present in the visual itself.
Available options: {'A': '3', 'B': '5', 'C': '1', 'D': '4'}.
Respond only with the corresponding option keyword(s) (e.g., 'A' or 'A,B' if multiple apply, without space between).
Do not include explanations, full sentences, or option text.
If the answer cannot be inferred from the figure and caption, please reply with the sentence: 'It is not possible to answer this question based only on the provided data.'
<thinking> Reasoning (do NOT respond yet)
Step 1 Identify the figure type and its axes/legend.
Step 2 Locate the graphical elements relevant to the question.
Step 3 Extract the key-value information.
Step 4 Determine the required values or qualitative trends.
Step 5 Integrate insights from the caption when necessary.
Step 6 Evaluate the provided answer choices and select the best one
Step 7 Produce the concise answer following the formatting rules above.

Final respond:";"[{""A"": ""3"", ""B"": null, ""C"": null, ""D"": null}, {""A"": null, ""B"": ""5"", ""C"": null, ""D"": null}, {""A"": null, ""B"": null, ""C"": ""1"", ""D"": null}, {""A"": null, ""B"": null, ""C"": null, ""D"": ""4""}]";line chart;closed-ended finite answer set non-binary visual;Figure 16: Baseline Artificial Corpus;How many dots are there before training example 200?;A;The dots before training example 200 are part of the 'Precision' line. By visually inspecting the graph, it appears that there are 5 dots before training example 200. Therefore, the answer is 'B'.;0.0;0.0;0.0;0.0;0.0;0.0;0.7910468578338623;0.8316621780395508;0.8108462691307068;A;The dots before training example 200 are part of the 'Precision' line. By visually inspecting the graph, it appears that there are 5 dots before training example 200. Therefore, the answer is 'B';False;False;True;True;False
0d738904bc6d85a075a8b284f2c6924d;2020.acl-main.158.pdf-Figure5;2020.acl-main.158.pdf-Figure5.png;"You are looking at a bar chart.
The caption is: 'Figure 5: Evaluation results on all models, split across test suite circuits.'.
Question: What is the colour of the bar representing the RNNG model?
[Visual cue] Pay attention to color, position, shape, size, height, or direction.
Use information from the caption when it directly supports your answer; otherwise, focus on data present in the visual itself.
Available options: {'A': 'green', 'B': 'red', 'C': 'yellow', 'D': 'brown'}.
Respond only with the corresponding option keyword(s) (e.g., 'A' or 'A,B' if multiple apply, without space between).
Do not include explanations, full sentences, or option text.
If the answer cannot be inferred from the figure and caption, please reply with the sentence: 'It is not possible to answer this question based only on the provided data.'
<thinking> Reasoning (do NOT respond yet)
Step 1 Identify the figure type and its axes/legend.
Step 2 Locate the graphical elements relevant to the question.
Step 3 Extract the key-value information.
Step 4 Determine the required values or qualitative trends.
Step 5 Integrate insights from the caption when necessary.
Step 6 Evaluate the provided answer choices and select the best one
Step 7 Produce the concise answer following the formatting rules above.

Final respond:";"[{""A"": ""green"", ""B"": null, ""C"": null, ""D"": null}, {""A"": null, ""B"": ""red"", ""C"": null, ""D"": null}, {""A"": null, ""B"": null, ""C"": ""yellow"", ""D"": null}, {""A"": null, ""B"": null, ""C"": null, ""D"": ""brown""}]";bar chart;closed-ended finite answer set non-binary visual;Figure 5: Evaluation results on all models, split across test suite circuits.;What is the colour of the bar representing the RNNG model?;B;The colour of the bar representing the RNNG model is red.;0.0;0.0;0.0;0.0;0.0;0.0;0.7966046333312988;0.8275161385536194;0.8117662072181702;B;The colour of the bar representing the RNNG model is red;False;False;True;True;False
