Figure Type: line chart
QA Type: closed-ended infinite answer set non-visual
"figure_type";"qa_pair_type";"rouge1_fmeasure";"rouge1_precision";"rouge1_recall";"rougeL_fmeasure";"rougeL_precision";"rougeL_recall";"bertscore_f1";"bertscore_precision";"bertscore_recall"
"line chart";"closed-ended infinite answer set non-visual";"0.15";"0.1";"0.45";"0.15";"0.1";"0.45";"0.59";"0.57";"0.61"
"line chart";"closed-ended infinite answer set visual";"0.08";"0.05";"0.36";"0.08";"0.05";"0.36";"0.75";"0.73";"0.77"
"line chart";"unanswerable";"0.42";"0.42";"0.45";"0.42";"0.41";"0.44";"0.81";"0.81";"0.81"
"line chart";"closed-ended infinite answer set visual";"0.08";"0.05";"0.36";"0.08";"0.05";"0.36";"0.75";"0.73";"0.77"
"line chart";"closed-ended finite answer set non-binary non-visual";"0.34";"0.32";"0.7";"0.34";"0.32";"0.7";"0.9";"0.89";"0.92"
"line chart";"closed-ended infinite answer set visual";"0.08";"0.05";"0.36";"0.08";"0.05";"0.36";"0.75";"0.73";"0.77"
"line chart";"closed-ended finite answer set non-binary non-visual";"0.34";"0.32";"0.7";"0.34";"0.32";"0.7";"0.9";"0.89";"0.92"
"line chart";"closed-ended finite answer set binary non-visual";"0.33";"0.33";"0.33";"0.33";"0.33";"0.33";"1.0";"1.0";"1.0"
"line chart";"unanswerable";"0.42";"0.42";"0.45";"0.42";"0.41";"0.44";"0.81";"0.81";"0.81"
"line chart";"closed-ended finite answer set non-binary visual";"0.02";"0.01";"0.22";"0.02";"0.01";"0.22";"0.76";"0.75";"0.78"
"line chart";"closed-ended finite answer set non-binary visual";"0.02";"0.01";"0.22";"0.02";"0.01";"0.22";"0.76";"0.75";"0.78"
"line chart";"closed-ended finite answer set binary visual";"0.44";"0.44";"0.44";"0.44";"0.44";"0.44";"1.0";"1.0";"1.0"
"line chart";"closed-ended finite answer set binary visual";"0.44";"0.44";"0.44";"0.44";"0.44";"0.44";"1.0";"1.0";"1.0"
"line chart";"closed-ended finite answer set binary visual";"0.44";"0.44";"0.44";"0.44";"0.44";"0.44";"1.0";"1.0";"1.0"
"line chart";"closed-ended infinite answer set visual";"0.08";"0.05";"0.36";"0.08";"0.05";"0.36";"0.75";"0.73";"0.77"
"line chart";"closed-ended infinite answer set non-visual";"0.15";"0.1";"0.45";"0.15";"0.1";"0.45";"0.59";"0.57";"0.61"
"line chart";"closed-ended infinite answer set non-visual";"0.15";"0.1";"0.45";"0.15";"0.1";"0.45";"0.59";"0.57";"0.61"
"line chart";"closed-ended finite answer set non-binary visual";"0.02";"0.01";"0.22";"0.02";"0.01";"0.22";"0.76";"0.75";"0.78"
"line chart";"closed-ended finite answer set non-binary non-visual";"0.34";"0.32";"0.7";"0.34";"0.32";"0.7";"0.9";"0.89";"0.92"
"line chart";"closed-ended finite answer set binary visual";"0.44";"0.44";"0.44";"0.44";"0.44";"0.44";"1.0";"1.0";"1.0"
"line chart";"unanswerable";"0.42";"0.42";"0.45";"0.42";"0.41";"0.44";"0.81";"0.81";"0.81"
"line chart";"closed-ended finite answer set non-binary visual";"0.02";"0.01";"0.22";"0.02";"0.01";"0.22";"0.76";"0.75";"0.78"
"line chart";"closed-ended finite answer set binary non-visual";"0.33";"0.33";"0.33";"0.33";"0.33";"0.33";"1.0";"1.0";"1.0"
"line chart";"closed-ended finite answer set non-binary visual";"0.02";"0.01";"0.22";"0.02";"0.01";"0.22";"0.76";"0.75";"0.78"
"line chart";"closed-ended finite answer set non-binary non-visual";"0.34";"0.32";"0.7";"0.34";"0.32";"0.7";"0.9";"0.89";"0.92"
"line chart";"closed-ended finite answer set non-binary non-visual";"0.34";"0.32";"0.7";"0.34";"0.32";"0.7";"0.9";"0.89";"0.92"
"line chart";"closed-ended infinite answer set visual";"0.08";"0.05";"0.36";"0.08";"0.05";"0.36";"0.75";"0.73";"0.77"
"line chart";"closed-ended finite answer set binary visual";"0.44";"0.44";"0.44";"0.44";"0.44";"0.44";"1.0";"1.0";"1.0"
"line chart";"unanswerable";"0.42";"0.42";"0.45";"0.42";"0.41";"0.44";"0.81";"0.81";"0.81"
"line chart";"unanswerable";"0.42";"0.42";"0.45";"0.42";"0.41";"0.44";"0.81";"0.81";"0.81"
"line chart";"closed-ended finite answer set non-binary non-visual";"0.34";"0.32";"0.7";"0.34";"0.32";"0.7";"0.9";"0.89";"0.92"
"line chart";"unanswerable";"0.42";"0.42";"0.45";"0.42";"0.41";"0.44";"0.81";"0.81";"0.81"
"line chart";"closed-ended infinite answer set non-visual";"0.15";"0.1";"0.45";"0.15";"0.1";"0.45";"0.59";"0.57";"0.61"
"line chart";"closed-ended finite answer set non-binary visual";"0.02";"0.01";"0.22";"0.02";"0.01";"0.22";"0.76";"0.75";"0.78"
"line chart";"closed-ended infinite answer set non-visual";"0.15";"0.1";"0.45";"0.15";"0.1";"0.45";"0.59";"0.57";"0.61"
"line chart";"closed-ended finite answer set non-binary visual";"0.02";"0.01";"0.22";"0.02";"0.01";"0.22";"0.76";"0.75";"0.78"
"line chart";"closed-ended finite answer set non-binary non-visual";"0.34";"0.32";"0.7";"0.34";"0.32";"0.7";"0.9";"0.89";"0.92"
"line chart";"closed-ended infinite answer set visual";"0.08";"0.05";"0.36";"0.08";"0.05";"0.36";"0.75";"0.73";"0.77"
"line chart";"closed-ended finite answer set binary non-visual";"0.33";"0.33";"0.33";"0.33";"0.33";"0.33";"1.0";"1.0";"1.0"
"line chart";"closed-ended finite answer set non-binary visual";"0.02";"0.01";"0.22";"0.02";"0.01";"0.22";"0.76";"0.75";"0.78"
"line chart";"unanswerable";"0.42";"0.42";"0.45";"0.42";"0.41";"0.44";"0.81";"0.81";"0.81"
"line chart";"closed-ended finite answer set non-binary non-visual";"0.34";"0.32";"0.7";"0.34";"0.32";"0.7";"0.9";"0.89";"0.92"
"line chart";"unanswerable";"0.42";"0.42";"0.45";"0.42";"0.41";"0.44";"0.81";"0.81";"0.81"
"line chart";"closed-ended finite answer set binary visual";"0.44";"0.44";"0.44";"0.44";"0.44";"0.44";"1.0";"1.0";"1.0"
"line chart";"unanswerable";"0.42";"0.42";"0.45";"0.42";"0.41";"0.44";"0.81";"0.81";"0.81"
"line chart";"closed-ended finite answer set binary non-visual";"0.33";"0.33";"0.33";"0.33";"0.33";"0.33";"1.0";"1.0";"1.0"
"line chart";"closed-ended finite answer set binary visual";"0.44";"0.44";"0.44";"0.44";"0.44";"0.44";"1.0";"1.0";"1.0"
"line chart";"closed-ended finite answer set binary non-visual";"0.33";"0.33";"0.33";"0.33";"0.33";"0.33";"1.0";"1.0";"1.0"
"line chart";"closed-ended infinite answer set non-visual";"0.15";"0.1";"0.45";"0.15";"0.1";"0.45";"0.59";"0.57";"0.61"
"line chart";"closed-ended infinite answer set visual";"0.08";"0.05";"0.36";"0.08";"0.05";"0.36";"0.75";"0.73";"0.77"
"line chart";"closed-ended finite answer set binary visual";"0.44";"0.44";"0.44";"0.44";"0.44";"0.44";"1.0";"1.0";"1.0"
"line chart";"unanswerable";"0.42";"0.42";"0.45";"0.42";"0.41";"0.44";"0.81";"0.81";"0.81"
"line chart";"closed-ended finite answer set binary visual";"0.44";"0.44";"0.44";"0.44";"0.44";"0.44";"1.0";"1.0";"1.0"
"line chart";"closed-ended infinite answer set visual";"0.08";"0.05";"0.36";"0.08";"0.05";"0.36";"0.75";"0.73";"0.77"
"line chart";"closed-ended infinite answer set visual";"0.08";"0.05";"0.36";"0.08";"0.05";"0.36";"0.75";"0.73";"0.77"
"line chart";"closed-ended infinite answer set non-visual";"0.15";"0.1";"0.45";"0.15";"0.1";"0.45";"0.59";"0.57";"0.61"
"line chart";"closed-ended finite answer set non-binary visual";"0.02";"0.01";"0.22";"0.02";"0.01";"0.22";"0.76";"0.75";"0.78"
"line chart";"closed-ended finite answer set non-binary non-visual";"0.34";"0.32";"0.7";"0.34";"0.32";"0.7";"0.9";"0.89";"0.92"
"line chart";"closed-ended infinite answer set non-visual";"0.15";"0.1";"0.45";"0.15";"0.1";"0.45";"0.59";"0.57";"0.61"
"line chart";"closed-ended finite answer set binary non-visual";"0.33";"0.33";"0.33";"0.33";"0.33";"0.33";"1.0";"1.0";"1.0"
"line chart";"closed-ended infinite answer set non-visual";"0.15";"0.1";"0.45";"0.15";"0.1";"0.45";"0.59";"0.57";"0.61"
"line chart";"closed-ended infinite answer set non-visual";"0.15";"0.1";"0.45";"0.15";"0.1";"0.45";"0.59";"0.57";"0.61"
"line chart";"closed-ended finite answer set non-binary non-visual";"0.34";"0.32";"0.7";"0.34";"0.32";"0.7";"0.9";"0.89";"0.92"


Figure Type: scatter plot
QA Type: closed-ended finite answer set non-binary visual
"figure_type";"qa_pair_type";"rouge1_fmeasure";"rouge1_precision";"rouge1_recall";"rougeL_fmeasure";"rougeL_precision";"rougeL_recall";"bertscore_f1";"bertscore_precision";"bertscore_recall"
"scatter plot";"closed-ended finite answer set non-binary visual";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.81";"0.79";"0.82"
"scatter plot";"closed-ended finite answer set non-binary non-visual";"0.08";"0.04";"0.67";"0.08";"0.04";"0.67";"0.8";"0.79";"0.82"
"scatter plot";"unanswerable";"0.44";"0.32";"0.71";"0.44";"0.32";"0.71";"0.89";"0.85";"0.93"
"scatter plot";"closed-ended infinite answer set visual";"0.13";"0.07";"1.0";"0.13";"0.07";"1.0";"0.8";"0.79";"0.82"
"scatter plot";"closed-ended finite answer set non-binary non-visual";"0.08";"0.04";"0.67";"0.08";"0.04";"0.67";"0.8";"0.79";"0.82"
