Figure Type: line chart
QA Type: closed-ended infinite answer set non-visual
"figure_type";"qa_pair_type";"rouge1_fmeasure";"rouge1_precision";"rouge1_recall";"rougeL_fmeasure";"rougeL_precision";"rougeL_recall";"bertscore_f1";"bertscore_precision";"bertscore_recall"
"line chart";"closed-ended infinite answer set non-visual";"0.16";"0.1";"0.53";"0.16";"0.1";"0.53";"0.76";"0.74";"0.78"
"line chart";"closed-ended infinite answer set visual";"0.07";"0.04";"0.36";"0.07";"0.04";"0.36";"0.65";"0.63";"0.67"
"line chart";"unanswerable";"0.24";"0.2";"0.37";"0.22";"0.18";"0.31";"0.61";"0.6";"0.63"
"line chart";"closed-ended infinite answer set visual";"0.07";"0.04";"0.36";"0.07";"0.04";"0.36";"0.65";"0.63";"0.67"
"line chart";"closed-ended finite answer set non-binary non-visual";"0.17";"0.14";"0.8";"0.17";"0.14";"0.8";"0.84";"0.82";"0.86"
"line chart";"closed-ended infinite answer set visual";"0.07";"0.04";"0.36";"0.07";"0.04";"0.36";"0.65";"0.63";"0.67"
"line chart";"closed-ended finite answer set non-binary non-visual";"0.17";"0.14";"0.8";"0.17";"0.14";"0.8";"0.84";"0.82";"0.86"
"line chart";"closed-ended finite answer set binary non-visual";"0.33";"0.33";"0.33";"0.33";"0.33";"0.33";"1.0";"1.0";"1.0"
"line chart";"unanswerable";"0.24";"0.2";"0.37";"0.22";"0.18";"0.31";"0.61";"0.6";"0.63"
"line chart";"closed-ended finite answer set non-binary visual";"0.17";"0.14";"0.56";"0.17";"0.14";"0.56";"0.85";"0.84";"0.87"
"line chart";"closed-ended finite answer set non-binary visual";"0.17";"0.14";"0.56";"0.17";"0.14";"0.56";"0.85";"0.84";"0.87"
"line chart";"closed-ended finite answer set binary visual";"0.44";"0.44";"0.44";"0.44";"0.44";"0.44";"1.0";"1.0";"1.0"
"line chart";"closed-ended finite answer set binary visual";"0.44";"0.44";"0.44";"0.44";"0.44";"0.44";"1.0";"1.0";"1.0"
"line chart";"closed-ended finite answer set binary visual";"0.44";"0.44";"0.44";"0.44";"0.44";"0.44";"1.0";"1.0";"1.0"
"line chart";"closed-ended infinite answer set visual";"0.07";"0.04";"0.36";"0.07";"0.04";"0.36";"0.65";"0.63";"0.67"
"line chart";"closed-ended infinite answer set non-visual";"0.16";"0.1";"0.53";"0.16";"0.1";"0.53";"0.76";"0.74";"0.78"
"line chart";"closed-ended infinite answer set non-visual";"0.16";"0.1";"0.53";"0.16";"0.1";"0.53";"0.76";"0.74";"0.78"
"line chart";"closed-ended finite answer set non-binary visual";"0.17";"0.14";"0.56";"0.17";"0.14";"0.56";"0.85";"0.84";"0.87"
"line chart";"closed-ended finite answer set non-binary non-visual";"0.17";"0.14";"0.8";"0.17";"0.14";"0.8";"0.84";"0.82";"0.86"
"line chart";"closed-ended finite answer set binary visual";"0.44";"0.44";"0.44";"0.44";"0.44";"0.44";"1.0";"1.0";"1.0"
"line chart";"unanswerable";"0.24";"0.2";"0.37";"0.22";"0.18";"0.31";"0.61";"0.6";"0.63"
"line chart";"closed-ended finite answer set non-binary visual";"0.17";"0.14";"0.56";"0.17";"0.14";"0.56";"0.85";"0.84";"0.87"
"line chart";"closed-ended finite answer set binary non-visual";"0.33";"0.33";"0.33";"0.33";"0.33";"0.33";"1.0";"1.0";"1.0"
"line chart";"closed-ended finite answer set non-binary visual";"0.17";"0.14";"0.56";"0.17";"0.14";"0.56";"0.85";"0.84";"0.87"
"line chart";"closed-ended finite answer set non-binary non-visual";"0.17";"0.14";"0.8";"0.17";"0.14";"0.8";"0.84";"0.82";"0.86"
"line chart";"closed-ended finite answer set non-binary non-visual";"0.17";"0.14";"0.8";"0.17";"0.14";"0.8";"0.84";"0.82";"0.86"
"line chart";"closed-ended infinite answer set visual";"0.07";"0.04";"0.36";"0.07";"0.04";"0.36";"0.65";"0.63";"0.67"
"line chart";"closed-ended finite answer set binary visual";"0.44";"0.44";"0.44";"0.44";"0.44";"0.44";"1.0";"1.0";"1.0"
"line chart";"unanswerable";"0.24";"0.2";"0.37";"0.22";"0.18";"0.31";"0.61";"0.6";"0.63"
"line chart";"unanswerable";"0.24";"0.2";"0.37";"0.22";"0.18";"0.31";"0.61";"0.6";"0.63"
"line chart";"closed-ended finite answer set non-binary non-visual";"0.17";"0.14";"0.8";"0.17";"0.14";"0.8";"0.84";"0.82";"0.86"
"line chart";"unanswerable";"0.24";"0.2";"0.37";"0.22";"0.18";"0.31";"0.61";"0.6";"0.63"
"line chart";"closed-ended infinite answer set non-visual";"0.16";"0.1";"0.53";"0.16";"0.1";"0.53";"0.76";"0.74";"0.78"
"line chart";"closed-ended finite answer set non-binary visual";"0.17";"0.14";"0.56";"0.17";"0.14";"0.56";"0.85";"0.84";"0.87"
"line chart";"closed-ended infinite answer set non-visual";"0.16";"0.1";"0.53";"0.16";"0.1";"0.53";"0.76";"0.74";"0.78"
"line chart";"closed-ended finite answer set non-binary visual";"0.17";"0.14";"0.56";"0.17";"0.14";"0.56";"0.85";"0.84";"0.87"
"line chart";"closed-ended finite answer set non-binary non-visual";"0.17";"0.14";"0.8";"0.17";"0.14";"0.8";"0.84";"0.82";"0.86"
"line chart";"closed-ended infinite answer set visual";"0.07";"0.04";"0.36";"0.07";"0.04";"0.36";"0.65";"0.63";"0.67"
"line chart";"closed-ended finite answer set binary non-visual";"0.33";"0.33";"0.33";"0.33";"0.33";"0.33";"1.0";"1.0";"1.0"
"line chart";"closed-ended finite answer set non-binary visual";"0.17";"0.14";"0.56";"0.17";"0.14";"0.56";"0.85";"0.84";"0.87"
"line chart";"unanswerable";"0.24";"0.2";"0.37";"0.22";"0.18";"0.31";"0.61";"0.6";"0.63"
"line chart";"closed-ended finite answer set non-binary non-visual";"0.17";"0.14";"0.8";"0.17";"0.14";"0.8";"0.84";"0.82";"0.86"
"line chart";"unanswerable";"0.24";"0.2";"0.37";"0.22";"0.18";"0.31";"0.61";"0.6";"0.63"
"line chart";"closed-ended finite answer set binary visual";"0.44";"0.44";"0.44";"0.44";"0.44";"0.44";"1.0";"1.0";"1.0"
"line chart";"unanswerable";"0.24";"0.2";"0.37";"0.22";"0.18";"0.31";"0.61";"0.6";"0.63"
"line chart";"closed-ended finite answer set binary non-visual";"0.33";"0.33";"0.33";"0.33";"0.33";"0.33";"1.0";"1.0";"1.0"
"line chart";"closed-ended finite answer set binary visual";"0.44";"0.44";"0.44";"0.44";"0.44";"0.44";"1.0";"1.0";"1.0"
"line chart";"closed-ended finite answer set binary non-visual";"0.33";"0.33";"0.33";"0.33";"0.33";"0.33";"1.0";"1.0";"1.0"
