figure_type;qa_pair_type;rouge1_fmeasure;rouge1_precision;rouge1_recall;rougeL_fmeasure;rougeL_precision;rougeL_recall;bertscore_f1;bertscore_precision;bertscore_recall
Architecture Diagram;closed-ended finite answer set non-binary visual;0.0;0.0;0.0;0.0;0.0;0.0;0.83;0.82;0.83
Graph;closed-ended infinite answer set visual;0.07;0.04;0.5;0.07;0.04;0.5;0.81;0.79;0.83
Line Chart;closed-ended finite answer set non-binary non-visual;0.4;0.25;1.0;0.4;0.25;1.0;0.82;0.8;0.85
Line Chart;closed-ended finite answer set non-binary visual;0.06;0.03;0.5;0.06;0.03;0.5;0.82;0.79;0.84
Line Chart;unanswerable;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
bar chart;closed-ended finite answer set non-binary non-visual;0.0;0.0;0.0;0.0;0.0;0.0;0.82;0.8;0.83
bar chart;closed-ended finite answer set non-binary visual;0.02;0.01;0.33;0.02;0.01;0.33;0.8;0.79;0.82
box plot;closed-ended finite answer set non-binary non-visual;0.0;0.0;0.0;0.0;0.0;0.0;0.82;0.8;0.84
box plot;closed-ended finite answer set non-binary visual;0.29;0.25;0.33;0.29;0.25;0.33;0.82;0.82;0.81
box plot;closed-ended infinite answer set non-visual;0.0;0.0;0.0;0.0;0.0;0.0;0.83;0.8;0.85
confusion matrix;closed-ended finite answer set binary non-visual;0.5;0.5;0.5;0.5;0.5;0.5;1.0;1.0;1.0
confusion matrix;closed-ended finite answer set non-binary non-visual;0.4;1.0;0.25;0.4;1.0;0.25;0.81;0.88;0.75
confusion matrix;closed-ended finite answer set non-binary visual;0.0;0.0;0.0;0.0;0.0;0.0;0.82;0.81;0.83
graph;closed-ended infinite answer set non-visual;0.0;0.0;0.0;0.0;0.0;0.0;0.84;0.83;0.84
graph;closed-ended infinite answer set visual;0.0;0.0;0.0;0.0;0.0;0.0;0.82;0.8;0.84
histogram;closed-ended finite answer set binary visual;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
line chart;closed-ended finite answer set binary non-visual;0.67;0.67;0.67;0.67;0.67;0.67;1.0;1.0;1.0
line chart;closed-ended finite answer set binary visual;0.78;0.78;0.78;0.78;0.78;0.78;1.0;1.0;1.0
line chart;closed-ended finite answer set non-binary non-visual;0.0;0.0;0.1;0.0;0.0;0.1;0.82;0.8;0.85
line chart;closed-ended finite answer set non-binary visual;0.01;0.0;0.22;0.01;0.0;0.22;0.83;0.81;0.84
line chart;closed-ended infinite answer set non-visual;0.23;0.14;0.73;0.23;0.14;0.73;0.85;0.83;0.87
line chart;closed-ended infinite answer set visual;0.07;0.04;0.44;0.07;0.04;0.44;0.84;0.81;0.86
line chart;unanswerable;0.83;0.82;0.84;0.82;0.81;0.82;0.97;0.97;0.97
neural networks;closed-ended finite answer set binary non-visual;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
neural networks;closed-ended finite answer set non-binary non-visual;0.0;0.0;0.0;0.0;0.0;0.0;0.82;0.79;0.85
pie chart;closed-ended finite answer set non-binary non-visual;0.25;0.25;0.25;0.25;0.25;0.25;0.8;0.81;0.79
pie chart;closed-ended finite answer set non-binary visual;0.0;0.0;0.0;0.0;0.0;0.0;0.83;0.81;0.84
scatter plot;closed-ended finite answer set binary visual;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
scatter plot;closed-ended finite answer set non-binary non-visual;0.35;0.34;0.67;0.35;0.34;0.67;0.93;0.93;0.94
scatter plot;closed-ended finite answer set non-binary visual;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
scatter plot;closed-ended infinite answer set non-visual;0.2;0.11;1.0;0.2;0.11;1.0;0.85;0.83;0.87
scatter plot;closed-ended infinite answer set visual;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.79;0.82
scatter plot;unanswerable;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
tree;closed-ended finite answer set binary visual;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
tree;closed-ended finite answer set non-binary visual;0.0;0.0;0.0;0.0;0.0;0.0;0.79;0.79;0.78
tree;unanswerable;0.15;0.1;0.36;0.06;0.04;0.14;0.81;0.78;0.84
venn diagram;closed-ended finite answer set binary non-visual;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0
